crop,region,window,boundary1_stage,boundary1_month,boundary1_day,boundary2_stage,boundary2_month,boundary2_day,source_scope,source_complete_years
Wheat,Colorado,winter,JOINTING,5,4,HEADED,5,31,state,10
Barley,Colorado,spring,JOINTING,6,18,HEADED,7,3,crop-season fallback,24
Oats,Colorado,spring,JOINTING,6,6,HEADED,6,21,crop-season fallback,37
Wheat,Illinois,winter,JOINTING,4,28,HEADED,5,18,crop-season fallback,80
Oats,Illinois,spring,JOINTING,6,6,HEADED,6,21,crop-season fallback,37
Wheat,Iowa,winter,JOINTING,4,28,HEADED,5,18,crop-season fallback,80
Oats,Iowa,spring,JOINTING,6,6,HEADED,6,21,crop-season fallback,37
Wheat,Kansas,winter,JOINTING,4,22,HEADED,5,15,state,42
Barley,Kansas,spring,JOINTING,6,18,HEADED,7,3,crop-season fallback,24
Oats,Kansas,spring,JOINTING,6,6,HEADED,6,21,crop-season fallback,37
Canola,Kansas,spring,BLOOMING,7,1,COLORING,7,29,crop-season fallback,36
Wheat,Minnesota,spring,JOINTING,6,18,HEADED,7,2,state,10
Barley,Minnesota,spring,JOINTING,6,18,HEADED,7,1,state,10
Oats,Minnesota,spring,JOINTING,6,9,HEADED,6,27,state,10
Canola,Minnesota,spring,BLOOMING,7,1,COLORING,7,29,crop-season fallback,36
Wheat,Montana,spring,JOINTING,6,18,HEADED,7,2,crop-season fallback,24
Barley,Montana,spring,JOINTING,6,18,HEADED,7,3,crop-season fallback,24
Oats,Montana,spring,JOINTING,6,6,HEADED,6,21,crop-season fallback,37
Canola,Montana,spring,BLOOMING,7,7,COLORING,7,29,state,12
Wheat,Nebraska,winter,JOINTING,5,2,HEADED,5,30,state,4
Barley,Nebraska,spring,JOINTING,6,18,HEADED,7,3,crop-season fallback,24
Oats,Nebraska,spring,JOINTING,5,29,HEADED,6,13,state,4
Wheat,North Dakota,spring,JOINTING,6,21,HEADED,7,5,state,10
Barley,North Dakota,spring,JOINTING,6,21,HEADED,7,5,state,10
Oats,North Dakota,spring,JOINTING,6,19,HEADED,7,5,state,10
Canola,North Dakota,spring,BLOOMING,7,6,COLORING,8,3,state,12
Wheat,Oklahoma,winter,JOINTING,4,6,HEADED,5,3,state,10
Barley,Oklahoma,spring,JOINTING,6,18,HEADED,7,3,crop-season fallback,24
Oats,Oklahoma,spring,JOINTING,4,28,HEADED,5,30,state,10
Canola,Oklahoma,spring,BLOOMING,4,20,COLORING,5,26,state,12
Wheat,South Dakota,spring,JOINTING,6,10,HEADED,6,24,state,4
Barley,South Dakota,spring,JOINTING,6,13,HEADED,7,1,state,4
Oats,South Dakota,spring,JOINTING,6,6,HEADED,6,20,state,3
Wheat,Texas,winter,JOINTING,4,28,HEADED,5,18,crop-season fallback,80
Barley,Texas,spring,JOINTING,6,18,HEADED,7,3,crop-season fallback,24
Oats,Texas,spring,JOINTING,6,6,HEADED,6,21,crop-season fallback,37
Wheat,Washington,winter,JOINTING,4,28,HEADED,5,18,crop-season fallback,80
Barley,Washington,spring,JOINTING,6,18,HEADED,7,3,crop-season fallback,24
Oats,Washington,spring,JOINTING,6,6,HEADED,6,21,crop-season fallback,37
Canola,Washington,spring,BLOOMING,7,1,COLORING,7,29,crop-season fallback,36
