arm_id,model_id,feature_family,module_a,module_a_delta_rmse,module_a_ci95_low,module_a_ci95_high,module_a_crop_state_ci95_high,module_b,module_b_delta_rmse,module_b_ci95_low,module_b_ci95_high,module_b_crop_state_ci95_high,module_e,event_n,event_delta_rmse_ci95_high,event_delta_mae_ci95_high,event_spearman,event_spearman_ci95_low,event_rank_permutation_p,event_topk_k,event_topk_overlap,event_topk_lift,event_topk_lift_ci95_low,event_topk_hypergeom_p,event_topk_permutation_p,tail_rmse_pass,tail_mae_pass,rank_pass,topk_pass
C000,catboost,full,PASS,-0.02146401475130899,-0.04053749883881138,-0.0037735727882103744,-0.007620566168365063,PASS,-0.021464014797794195,-0.040537498922195526,-0.0037735728089834395,-0.007620566309174102,FAIL,136.0,-0.018946445906087666,-0.032712045488635946,0.2575211106340346,0.0570880007062865,0.016198380161983803,10.0,2.0,2.72,0.0,0.15937672973317377,0.20427957204279573,True,True,True,False
C000,catboost,metadata_only,FAIL,4.6485204574509e-11,-1.1093085339197729e-10,2.024283893287126e-10,1.9250940841430955e-10,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C000,catboost,weather_only,PASS,-0.02025078700559718,-0.0388562386959537,-0.0025936327457708004,-0.006734365169560335,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C000,extra_trees,full,PASS,-0.02297697532144144,-0.04131523391935882,-0.0066481784731165245,-0.00956327345115213,PASS,-0.022976975321432613,-0.04131523391934722,-0.006648178473110534,-0.009563273451139536,FAIL,136.0,-0.01396231913381838,-0.023912216933696766,0.3084156290253327,0.1069742325892932,0.006299370062993701,10.0,2.0,2.72,1.11975,0.15937672973317377,0.282971702829717,True,True,True,False
C000,extra_trees,metadata_only,PASS,-8.826273045769994e-15,-1.4099832412739488e-14,-3.83026943495679e-15,-3.6637359812630166e-15,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C000,extra_trees,weather_only,PASS,-0.025132440432026615,-0.043403566736738675,-0.008303269609697713,-0.013460594196806858,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C000,hist_gradient_boosting,full,FAIL,-0.01412979620792748,-0.03767808923072519,0.01060450529937602,-0.00010030689838826192,FAIL,-0.014129796227489555,-0.037678089293269434,0.010604505357642813,-0.00010030681938972088,NOT_EVALUATED,,,,,,,,,,,,,,,,
C000,hist_gradient_boosting,metadata_only,FAIL,1.9562074182744027e-11,-1.2646988317710495e-10,1.5590703728030056e-10,2.108162033831462e-10,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C000,hist_gradient_boosting,weather_only,FAIL,-0.01137479075175718,-0.0339534589495514,0.011115817812872034,0.0030054496894882424,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C000,lightgbm,full,FAIL,-0.014881405455458241,-0.03194730309867595,0.0035759796401649033,-0.0013996191233889305,FAIL,-0.014881405572555018,-0.031947303581376416,0.003575979551237775,-0.0013996195334542345,NOT_EVALUATED,,,,,,,,,,,,,,,,
C000,lightgbm,metadata_only,FAIL,1.1709677671944974e-10,-2.4349908339660333e-10,4.828852734339856e-10,4.866821390336892e-10,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C000,lightgbm,weather_only,FAIL,-0.012754095059810344,-0.03025896186856736,0.005086293439392145,0.0012788777105555778,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C000,linear_shrinkage,full,FAIL,0.009233044182769101,-0.0035996409142369013,0.02538834389535654,0.019024706358023065,FAIL,0.009233044182774708,-0.0035996409142283027,0.02538834389536447,0.019024706358029306,NOT_EVALUATED,,,,,,,,,,,,,,,,
C000,linear_shrinkage,metadata_only,PASS,-5.6066262743570405e-15,-1.032784968657552e-14,-1.4974133044631875e-15,-2.1094237467877974e-15,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C000,linear_shrinkage,weather_only,FAIL,0.0032609080973896587,-0.006169241862269678,0.014059662311124807,0.009740793683143291,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C001,catboost,full,PASS,-0.021329486257484154,-0.039618596428464964,-0.003963849265453615,-0.007190418578923228,PASS,-0.021329486304822454,-0.03961859660793129,-0.003963849137184733,-0.00719041846418129,FAIL,136.0,-0.019691674629559605,-0.03180687103126886,0.25152903010352556,0.06808954695485067,0.015598440155984402,10.0,1.0,1.36,0.0,0.54676072524784,0.5927407259274072,True,True,True,False
C001,catboost,metadata_only,FAIL,4.733829994663097e-11,-9.92091311879939e-11,1.867436635882846e-10,1.768065305274291e-10,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C001,catboost,weather_only,PASS,-0.019067869488119227,-0.0360377960492887,-0.003150449529411131,-0.005936951091625398,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C001,extra_trees,full,PASS,-0.02125367633201497,-0.037869114439350114,-0.006334039257872958,-0.008800266996622234,PASS,-0.02125367633200609,-0.03786911443933755,-0.00633403925786692,-0.008800266996611569,FAIL,136.0,-0.011935601801887822,-0.021073254531589307,0.2770335384762177,0.0863510966025654,0.0091990800919908,10.0,2.0,2.72,1.1697499999999998,0.15937672973317377,0.27917208279172084,True,True,True,False
C001,extra_trees,metadata_only,PASS,-8.881784197001252e-15,-1.4210854715202004e-14,-3.884392807407274e-15,-3.608224830031759e-15,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C001,extra_trees,weather_only,PASS,-0.025808897722093993,-0.0434762407003847,-0.009371446105723592,-0.013253178607260831,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C001,hist_gradient_boosting,full,FAIL,-0.016359339988546606,-0.03819596664960912,0.004087125065684557,-0.002259131391464074,FAIL,-0.016359339988465393,-0.03819596673454573,0.004087125048792891,-0.0022591315277786296,NOT_EVALUATED,,,,,,,,,,,,,,,,
C001,hist_gradient_boosting,metadata_only,FAIL,-8.12128142513302e-14,-1.2915057079343484e-10,1.2312776076495165e-10,1.7103807814500267e-10,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C001,hist_gradient_boosting,weather_only,FAIL,-0.014644322404286036,-0.035669653984251835,0.007574723052228795,-0.0006484864911147098,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C001,lightgbm,full,FAIL,-0.012889137818347052,-0.028107588918302753,0.003898516511265691,0.0013752138929304344,FAIL,-0.012889137876368917,-0.028107589121099844,0.0038985162384042368,0.0013752136990076065,NOT_EVALUATED,,,,,,,,,,,,,,,,
C001,lightgbm,metadata_only,FAIL,5.802186509029639e-11,-3.3548547828665674e-10,4.4137547783318256e-10,4.631994496295809e-10,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C001,lightgbm,weather_only,FAIL,-0.011383208853690319,-0.029050973707142692,0.007239853653204045,0.003155959534232376,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C001,linear_shrinkage,full,FAIL,0.012455703271346097,-0.00044172092883477254,0.028261084740777584,0.022799544442718707,FAIL,0.012455703271351704,-0.00044172092882954615,0.02826108474078172,0.022799544442722638,NOT_EVALUATED,,,,,,,,,,,,,,,,
C001,linear_shrinkage,metadata_only,PASS,-5.6066262743570405e-15,-1.032784968657552e-14,-1.4432899320127035e-15,-2.1094237467877974e-15,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C001,linear_shrinkage,weather_only,FAIL,0.004369774235947088,-0.004196595717549312,0.01401870691871056,0.010338981152952285,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C010,catboost,full,PASS,-0.021464014751310767,-0.040537498838814114,-0.003773572788212024,-0.007620566168366752,PASS,-0.02146401479779414,-0.0405374989221952,-0.003773572808983549,-0.007620566309174051,FAIL,136.0,-0.017296312502365976,-0.03230798730083725,0.2575211106340346,0.06286853336029778,0.018698130186981302,10.0,2.0,2.72,0.0,0.15937672973317377,0.20027997200279973,True,True,True,False
C010,catboost,metadata_only,FAIL,4.6483372706518367e-11,-1.1093157781250084e-10,2.0242431758576977e-10,1.925082496190276e-10,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C010,catboost,weather_only,PASS,-0.020250787005598958,-0.038856238695954955,-0.002593632745772341,-0.006734365169560735,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C010,extra_trees,full,PASS,-0.023351749196132587,-0.041603174355668585,-0.006994897262142038,-0.009685055769061117,PASS,-0.02335174919612537,-0.04160317435566155,-0.006994897262138446,-0.009685055769047901,FAIL,136.0,-0.017515126739884312,-0.026789034696980688,0.3015982061924526,0.09859697960924015,0.0044995500449955,10.0,2.0,2.72,1.1697499999999998,0.15937672973317377,0.25077492250774924,True,True,True,False
C010,extra_trees,metadata_only,PASS,-7.216449660063518e-15,-1.0880185641326534e-14,-3.662348202482243e-15,-2.4424906541753444e-15,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C010,extra_trees,weather_only,PASS,-0.02471650067554687,-0.04235474068834508,-0.008298230231482339,-0.0129945978551724,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C010,hist_gradient_boosting,full,FAIL,-0.014129796207909218,-0.03767808923069625,0.010604505299405976,-0.00010030689836590203,FAIL,-0.014129796228641855,-0.03767808929512829,0.01060450535762991,-0.00010030681839776298,NOT_EVALUATED,,,,,,,,,,,,,,,,
C010,hist_gradient_boosting,metadata_only,FAIL,2.073263782875756e-11,-1.2623234679765004e-10,1.5701677319457357e-10,2.1283119988613197e-10,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C010,hist_gradient_boosting,weather_only,FAIL,-0.01137479075183484,-0.03395345894960458,0.01111581781272062,0.0030054496894632568,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C010,lightgbm,full,FAIL,-0.014881405455459684,-0.03194730309868013,0.003575979640164051,-0.0013996191233899824,FAIL,-0.014881405572554685,-0.031947303581376194,0.0035759795512381055,-0.0013996195334539513,NOT_EVALUATED,,,,,,,,,,,,,,,,
C010,lightgbm,metadata_only,FAIL,1.1709500036261034e-10,-2.434992124600299e-10,4.828820149294084e-10,4.86681228650809e-10,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C010,lightgbm,weather_only,FAIL,-0.012754095059811676,-0.03025896186856991,0.005086293439392198,0.0012788777105540831,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C010,linear_shrinkage,full,FAIL,0.009233044182770545,-0.0035996409142339315,0.025388343895358267,0.01902470635802429,FAIL,0.009233044182774541,-0.0035996409142288466,0.025388343895364467,0.019024706358029126,NOT_EVALUATED,,,,,,,,,,,,,,,,
C010,linear_shrinkage,metadata_only,PASS,-3.9968028886505635e-15,-6.994405055138486e-15,-1.3877787807814457e-15,-8.881784197001252e-16,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
C010,linear_shrinkage,weather_only,FAIL,0.0032609080973907134,-0.006169241862268834,0.014059662311124389,0.009740793683143628,NOT_APPLICABLE,,,,,NOT_EVALUATED,,,,,,,,,,,,,,,,
